Authors,Title,Year
"D Lee, V Bertacco",MTraceCheck: Validating non-deterministic behavior of memory consistency models in post-silicon validation,2017
"E Tomasco, TL Nguyen, O Inverso, B Fischer, ...",MU-CSeq 0.4: individual memory location unwindings,2016
"S Doherty, B Dongol, H Wehrheim, J Derrick",Making linearizability compositional for partially ordered executions,2018
"J Alglave, AF Donaldson, D Kroening, ...",Making software verification tools really work,2011
"SK Reinhardt, SS Mukherjee, JS Emer, ...",Managing external memory updates for fault detection in redundant multithreading systems using speculative memory support,2008
"J Kofron, T Vojnar",Mathematical and Engineering Methods in Computer Science,
"J Kofroň, T Vojnar","Mathematical and Engineering Methods in Computer Science: 10th International Doctoral Workshop, MEMICS 2015, Telč, Czech Republic, October 23-25 …",2016
"M Batty, S Owens, S Sarkar, P Sewell, T Weber",Mathematizing C++ concurrency,2011
"S Huang, J Huang",Maximal causality reduction for TSO and PSO,2016
A Huang,Maximally stateless model checking for concurrent bugs under relaxed memory models,2016
"M Elver, V Nagarajan",McVerSi: A test generation framework for fast memory consistency verification in simulation,2016
C Watt,Mechanising and verifying the WebAssembly specification,2018
SK Reinhardt,Mechanisms for distributed shared memory,1996
"C Trippel, D Lustig, M Martonosi",MeltdownPrime and SpectrePrime: Automatically-synthesized attacks exploiting invalidation-based coherence protocols,2018
"PA Abdulla, MF Atig, YF Chen, C Leonardsson, ...","Memorax, a Precise and Sound Tool for Automatic Fence Insertion under TSO",2013
J Mellor-Crummey,Memory Consistency Models,
G Georgopoulos,Memory Consistency Models of Modern CPUs,
"F Furbach, R Meyer, K Schneider, M Senftleben",Memory Model-aware Testing,2014
J Zhao,Memory Models and Implementations for Shared-memory Multi-threaded Programming Languages,2011
"I Lee, T Angelina",Memory abstractions for parallel programming,2012
"MA Blake, CB Ford, PK Mak, GE Strait",Memory management for a symmetric multiprocessor computer system,2006
S Burckhardt,Memory model sensitive analysis of concurrent data types,2007
MP Spertus,Memory order tester for multi-threaded programs,2015
P Sewell,"Memory, an elusive abstraction",2010
V Štill,Memory-Model-Aware Analysis of Parallel Programs,
"F Furbach, R Meyer, K Schneider, ...",Memory-model-aware testing: A unified complexity analysis,2015
"Y Yang, G Gopalakrishnan, G Lindstrom",Memory-model-sensitive data race analysis,2004
"PA Abdulla, MF Atig, S Kaxiras, C Leonardsson, ...",Mending fences with self-invalidation and self-downgrade,2016
"BSADC Larry, R Arvind",Message Passing Support on StarT-Voyager,1998
"BS Ang, D Chiou, L Rudolph",Message passing support on StarT-Voyager,1998
"TJ Runaldue, B Erimli",Method and apparatus for maintaining a time order by physical ordering in a memory,2001
"JM Frailong, P Sindhu, M Cekleov, M Powell, ...",Method and apparatus for providing total and partial store ordering for a memory in multi-processor system,1993
T Schuele,Method for checking invariants in parallel programs,2018
"S Kobayashi, A Matsunaga, I Kawabata, ...",Method for saving generated character image in a cache system including a backup cache,2000
D Chiou,Method to simulate a digital system,2013
D Chiou,Method to simulate a digital system,2014
"S Flur, S Sarkar, C Pulte, K Nienhuis, L Maranget, ...","Mixed-size concurrency: ARM, Power, C/C++ 11, and SC",2017
"B Fischer, J Geldenhuys",Model Checking Software,
"B Fischer, J Geldenhuys","Model Checking Software: 22nd International Symposium, SPIN 2015, Stellenbosch, South Africa, August 24-26, 2015, Proceedings",2015
"Z Baranová, J Barnat, K Kejstová, T Kučera, ...",Model Checking of C and C++ with DIVINE 4,2017
TP Ngo,Model Checking of Software Systems under Weak Memory Models,2019
"A Gupta, V Kahlon, S Qadeer, T Touili",Model checking concurrent programs,2018
"T Ugawa, T Abe, T Maeda",Model checking copy phases of concurrent copying garbage collection with various memory models,2017
"M Kokologiannakis, A Raad, V Vafeiadis",Model checking for weakly consistent libraries,2019
"V Štill, J Barnat",Model checking of C++ programs under the x86-TSO memory model,2018
"T Abe, T Maeda",Model checking with user-definable memory consistency models,2013
"L Maranget, IR Luc",Modele mémoire des machines ARM,
"P Bolignano, T Jensen, V Siles",Modeling and abstraction of memory management in a hypervisor,2016
"AM Dan, P Lam, T Hoefler, M Vechev",Modeling and analysis of remote memory access programming,2016
J Alglave,Modeling of architectures,2015
M Senftleben,Modelling Memory Consistency Models for Formal Verification,2019
"K Winter, G Smith, J Derrick",Modelling concurrent objects running on the TSO and ARMv8 memory models,2019
"S Flur, KE Gray, C Pulte, S Sarkar, A Sezgin, ...","Modelling the ARMv8 architecture, operationally: Concurrency and ISA",2016
"M Paviotti, S Cooksey, A Paradis, D Wright, ...",Modular Relaxed Dependencies in Weak Memory Concurrency,2020
M Moy,Modélisation à haut niveau d'abstraction pour les systèmes embarqués.(High-level Models for Embedded Systems).,2014
"A Sezgin, S Tasiran",Moving Around: Lipton's Reduction for TSO,2015
"HJ Boehm, U Goltz, H Hermanns, P Sewell",Multi-Core Memory Models and Concurrency Theory (Dagstuhl Seminar 11011),2011
SSP Schnoebelen,Multiply-Recursive Bounds with Higman's Lemma,
I Zhirkov,Multithreading,2017
"H Hojjat, J McClurg, N Foster",Network Updates for the Impatient: Eliminating Unnecessary Waits,
"A Bieniusa, HJ Boehm, M Herlihy, E Petrank",New Challenges in Parallelism (Dagstuhl Seminar 17451),2018
"N Liu, B Zang, H Chen",No barrier in the road: a comprehensive study and optimization of ARM barriers,2020
"H Mantel, M Perner, J Sauer",Noninterference under Weak Memory Models (Progress Report),2014
"H Mantel, M Perner, J Sauer",Noninterference under weak memory models,2014
"M Batty, P Sewell",Notes on the Draft C++ Memory Model,
"T Abe, T Maeda",Observation-based concurrent program logic for relaxed memory consistency models,2016
"K Winter, G Smith, J Derrick",Observational models for linearizability checking on weak memory models,2018
"MD Bond, M Kulkarni, M Cao, M Zhang, ...",Octet: Capturing and controlling cross-thread dependences efficiently,2013
"J Alglave, P Cousot",Ogre and Pythia,
"J Alglave, P Cousot",Ogre and Pythia: an invariance proof method for weak consistency models,2017
Z Snyder,On Fuzzing Concurrent Programs With C++ Atomics,2019
"A RAAD, M DOKO, L ROŽIĆ, ORI LAHAV, ...",On Library Correctness under Weak Memory Consistency,2019
R Achermann,On Memory Addressing,2020
GBG Petri,On Speculative Computation and Thread Safe Programming,2009
M Grysla,On The Verification Problem For Weak Memory Models,2011
"A Bouajjani, C Enea, M Mukund, R Roy",On Verifying TSO Robustness for Event-Driven Asynchronous Programs,2018
"B Dongol, R Jagadeesan, J Riely, ...",On abstraction and compositionality for weak-memory linearisability,2018
"C Enea, A Farzan",On atomicity in presence of non-atomic writes,2016
"A Malkis, A Banerjee",On automation in the verification of software barriers: Experience report,2014
"AV Podkopaev, L Ori, V Viktor",On compilation correctness for a subset of a promising memory model to the ARMv8. 3 memory model,2017
"M Perrin, M Petrolia, A Mostefaoui, C Jard",On composition and implementation of sequential consistency,2016
"A Raad, O Lahav, V Vafeiadis",On parallel snapshot isolation and release/acquire consistency,2018
"A Horn, D Kroening",On partial order semantics for SAT/SMT-based symbolic encodings of weak memory concurrency,2015
"C Wallace, G Tremblay, JN Amaral",On the Tamability of the Location Consistency Memory Model.,2002
"L Bocchi, H Melgratti",On the behaviour of general purpose applications on cloud storages,2015
"A Fernández, E Jiménez, V Cholvi",On the interconnection of causal memory systems,2000
"A Raad, O Lahav, V Vafeiadis",On the semantics of snapshot isolation,2019
"X Qin, JL Baer",On the use and performance of explicit communication primitives in cache-coherent multiprocessor systems,1997
"MF Atig, A Bouajjani, S Burckhardt, ...",On the verification problem for weak memory models,2010
P Abdulla,On the verification problem for weak memory models,2010
"A Jeffrey, J Riely",On thin air reads towards an event structures model of relaxed memory,2016
"J Ševčík, D Aspinall",On validity of program transformations in the Java memory model,2008
"JB Manzano, G Gan, J Ributzka, S Shrestha, ...",Opell and pm: A case study on porting shared memory programming models to accelerators architectures,2011
"J Balkind, K Lim, F Gao, J Tu, ...","OpenPiton+ Ariane: The First Open-Source, SMP Linux-booting RISC-V System Scaling From One to Many Cores",2019
D Demange,Operational Semantics,
G Georgopoulos,Operational Semantics of Memory System Implementations,2018
H MAARAND,Operational Semantics of Weak Sequential Composition,
RT Bauer,Operational Verification of a Relativistic Program,2009
"M Senftleben, K Schneider",Operational characterization of weak memory consistency models,2018
T Ridge,Operational reasoning for concurrent Caml programs and weak memory models,2007
"DS Fava, M Steffen, V Stolz",Operational semantics of a weak memory model with channel synchronization,2019
"DM Vantrease, M Lipasti",Optical tokens in many-core processors,2010
"TP Ngo, P Abdulla, B Jonsson, MF Atig",Optimal Stateless Model Checking under the Release-Acquire Semantics,2018
"PA Abdulla, MF Atig, B Jonsson, TP Ngo",Optimal stateless model checking under the release-acquire semantics,2018
"T Abe, T Maeda",Optimization of a general model checking framework for various memory consistency models,2014
"A Hobor, AW Appel, FZ Nardelli",Oracle Semantics for Concurrent Separation Logic (preliminary version),2007
"D Baudisch, J Brandt, ...",Out-of-order execution of synchronous data-flow networks,2012
"M Batty, AF Donaldson, J Wickerson",Overhauling SC atomics in C11 and OpenCL,2016
"O Lahav, V Vafeiadis",Owicki-Gries reasoning for weak memory models,2015
"D Siakavaras, K Nikas, G Goumas, N Koziris",PACT 2017,
"TCP vrstva pro verifikační nástroj DIVINE, ...",ParaDiSe–Parallel & Distributed Systems Laboratory,
"TCP vrstva pro verifikační nástroj DIVINE, ...",ParaDiSe–Parallel & Distributed Systems Laboratory,2009
"TCP vrstva pro verifikační nástroj DIVINE, ...",ParaDiSe–Parallel & Distributed Systems Laboratory,
J Mellor-Crummey,Parallel Computing Platforms,
"O Inverso, C Trubiani",Parallel and distributed bounded model checking of multi-threaded programs,2020
"D Schwartz-Narbonne, G Weissenbacher, ...",Parallel assertions for architectures with weak memory models,2012
"TL Nguyen, P Schrammel, B Fischer, ...",Parallel bug-finding in concurrent programs via reduced interleaving instances,2017
C von Praun,Parallel programming: design of an overview class,2011
"L Yin, W Dong, W Liu, J Wang",Parallel refinement for multi-threaded program verification,2019
H Löf,Parallelizing the method of conjugate gradients for shared memory architectures,2004
M Hague,Parameterised pushdown systems with non-atomic writes,2011
"S Conchon, D Declerck, F Zaïdi",Parameterized Model Checking on the TSO Weak Memory Model,2020
"R Ferreira, X Feng, Z Shao",Parameterized memory models and concurrent separation logic,2010
"R Ferreira, X Feng, Z Shao",Parameterized memory models and concurrent separation logic (extended version),2009
"S Conchon, D Declerck, F Zaïdi",Parameterized model checking modulo explicit weak memory models,2018
MJ Emmi,Parameterized software verification,2010
"M Emmi, R Majumdar, R Manevich",Parameterized verification of transactional memories,2010
"PA Abdulla, MF Atig, R Rezvan",Parameterized verification under TSO is PSPACE-complete,2019
"R Palmer, G Gopalakrishnan",Partial order reduction assisted parallel model checking,2002
"J Alglave, D Kroening, M Tautschnig",Partial orders for efficient bmc of concurrent software,2013
"J Alglave, D Kroening, M Tautschnig",Partial orders for efficient bounded model checking of concurrent software,2013
"M Kuperstein, M Vechev, E Yahav",Partial-coherence abstractions for relaxed memory models,2011
"R Morisset, F Zappa Nardelli","Partially redundant fence elimination for x86, ARM, and Power processors",2017
"S Cheng, L Higham, J Kawash",Partition Consistency: A Case Study in Modeling Systems with Weak Memory Consistency and Proving Correctness of their Implementations,2013
"S Cheng, L Higham, J Kawash",Partition Consistency: A Class of Memory Consistency Models with Implementations on Message-Passing Networks,
"S Cheng, L Higham, J Kawash",Partition consistency,2014
"R Zhang, S Biswas, V Balaji, MD Bond, ...",Peacenik: Architecture Support for Not Failing under Fail-Stop Memory Consistency,2020
"L Li, EL Gunter",Per-Location Simulation,2020
"A Raad, V VAFEIADIS",Persistence Semantics for Weak Memory,2018
"U Degenbaev, WJ Paul, N Schirmer",Pervasive theory of memory,2009
JL Carré,Phd Thesis in Computer Science Static Analysis of Embedded Multithreaded Programs,2010
"R Achermann, L Humbel, D Cock, T Roscoe",Physical addressing on real hardware in Isabelle/HOL,2018
"D Lustig, M Pellauer, ...",PipeCheck: Specifying and verifying microarchitectural enforcement of memory consistency models,2014
"YAMD Lustig, MMA Gupta",PipeProof: Automated Memory Consistency Proofs for Microarchitectural Specifications,
"YA Manerkar, D Lustig, M Martonosi, ...",Pipeproof: Automated memory consistency proofs for microarchitectural specifications,2018
"L Higham, J Kawash",Pitfalls in Memory Consistency Modelling,2016
"DDV Laporte, LZSJD Pichardie, J Vitek",Plan B: A Buffered Memory Model for Java,2013
"D Demange, V Laporte, L Zhao, ...",Plan B: A buffered memory model for Java,2013
"S Mador-Haim, R Alur, M Martin",Plug and play components for the exploration of memory consistency models,2010
"F Haziza, L Holík, R Meyer, S Wolff",Pointer race freedom,2016
"AA Patwardhan, R Upadrasta",Polyhedral Model Guided Automatic GPU Cache Exploitation Framework,
"M Taheri, A Pourdamghani, ...",Polynomial-Time Fence Insertion for Structured Programs,2019
R Meyer,Portability Analysis for Weak Memory Models,2017
"H Ponce-de-León, F Furbach, K Heljanko, ...",Portability Analysis for Weak Memory Models porthos: OneToolfor allModels,2017
"H Ponce de León, F Furbach, K Heljanko, ...",Portability analysis for axiomatic memory models,2017
"R Alur, J Esparza, JF Raskin, A Bouajjani, J Ouaknine, ...",Post-doctoral fellowship,2010
J Alglave,Poétique de la mémoire partagée,2010
S Biswas,"Practical Support for Strong, Serializability-Based Memory Consistency",2016
"PA Abdulla, MF Atig, M Lång, TP Ngo",Precise and sound automatic fence insertion procedure under PSO,2015
"KH Kim, BA Sanders, N Rungta, EG Mercer",Precondition-based Modular Verification to Guarantee Data Race Freedom in Java Programs,
"AM Dan, Y Meshman, M Vechev, E Yahav",Predicate abstraction for relaxed memory models,2013
F Loulergue,Preface to the special issue on Formal Approaches to Parallel and Distributed Systems 2018,2020
"M Cao, J Roemer, A Sengupta, MD Bond",Prescient memory: exposing weak memory model behavior by looking into the future,2016
"M Kuperstein, E Yahav, M Vechev",Preserving correctness under relaxed memory models,2012
"S Cooksey, S Harris, M Batty, R Grigore, ...",Pridemm: A solver for relaxed memory models,2018
"C Eidt, K Frei, KS Gatlin, V Grover, P Lucido",Prism: A Principle-Based Sequential Memory Model for Microsoft Native Code Platforms,2006
"PL Grover, B Smith",Prism: A Principle-Based Sequential Memory Model for Microsoft Native Code Platforms,
"A Kristensen, C Low",Problem-oriented object memory: customizing consistency,1995
"R Laleau, D Méry, S Nakajima, ...",Proceedings Joint Workshop on Handling IMPlicit and EXplicit knowledge in formal system development (IMPEX) and Formal and Model-Driven Techniques for …,2018
"GL Guthrie, WJ Starke, DE Williams",Processor performance improvement for instruction sequences that include barrier instructions,2015
AM Dan,Program Analysis for Weak Memory Models,2018
"Y Zhang, X Feng",Program Logic for Local Reasoning in TSO,
"Y Chen, L Li, T Chen, L Li, L Wang, ...",Program regularization in memory consistency verification,2012
J Sevcik,Program transformations in weak memory models,2009
V Vafeiadis,Program verification under weak memory consistency using separation logic,2017
H Seidl,Programming Languages and Systems,2012
H Yang,Programming Languages and Systems,2011
H Seidl,"Programming Languages and Systems: 21st European Symposium on Programming, ESOP 2012, Held as Part of the European Joint Conferences on Theory …",2012
H Yang,"Programming Languages and Systems: 9th Asian Symposium, APLAS 2011, Kenting, Taiwan, December 5-7, 2011. Proceedings",2011
"JH Rutgers, MJG Bekooij, GJM Smit",Programming a multicore architecture without coherency and atomic operations,2014
"C Varela, G Agha",Programming dynamically reconfigurable open systems with SALSA,2001
D Heck,Programming with Threads: Synchronization and Communication,
"SH Lee, M Cho, A Podkopaev, S Chakraborty, CK Hur, ...",Promising 2.0: global optimizations in relaxed memory concurrency.,2020
"A Podkopaev, O Lahav, V Vafeiadis",Promising Compilation to ARMv8 POP,
"A Podkopaev, O Lahav, ...",Promising compilation to ARMv8 POP,2017
"AV Podkopaev, O Lahav, V Vafeiadis",Promising compilation to ARMv8. 3,2017
"C Pulte, J Pichon-Pharabod, J Kang, SH Lee, ...",Promising-ARM/RISC-V: a simpler and faster operational concurrency model,2019
V Robert,Proof-assistant-based verification of programs,
"S Joshi, D Kroening",Property-driven fence insertion using reorder bounded model checking,2015
"E Kamburjan, R Hähnle",Prototyping formal system models with active objects,2018
"R Achermann, T Roscoe",Provable Correct Memory Management,2017
"NP Lopes, D Menendez, S Nagarakatte, ...",Provably correct peephole optimizations with alive,2015
J Bender,"Prove Once, Run E ciently Anywhere: Tools for Lock-free Concurrent Algorithms",
JM Bender,"Prove Once, Run Efficiently Anywhere: Tools for Lock-free Concurrent Algorithms",2019
"A Armstrong, B Dongol, S Doherty",Proving opacity via linearizability: a sound and complete method,2017
"A Gotsman, B Cook, M Parkinson, V Vafeiadis",Proving that non-blocking algorithms don't block,2009
"R Jagadeesan, G Petri, C Pitcher, J Riely",Quarantining weakness,2013
"M Xu, MD Hill, R Bodik",Race recording for multithreaded deterministic replay using multiprocessor hardware,2006
"H Sivaraj, G Gopalakrishnan",Random walk based heuristic algorithms for distributed memory model checking,2003
"YA Manerkar, D Lustig, M Martonosi","RealityCheck: Bringing Modularity, Hierarchy, and Abstraction to Automated Microarchitectural Memory Consistency Verification",2020
"R Meyer, S Wolff",Reasoning About Weak Semantics via Strong Semantics,2018
"A Gotsman, H Yang, C Ferreira, M Najafzadeh, ...",Reasoning about Consistency Choices in Distributed Systems,
"M He, V Vafeiadis, S Qin, JF Ferreira",Reasoning about Fences and Relaxed Atomics (Technical Report),
W Mansky,Reasoning about Memory for Program Correctness Research Statement,
"A Bouajjani, C Enea, SO Mutluergil, ...",Reasoning about TSO programs using reduction and abstraction,2018
"M He, V Vafeiadis, S Qin, ...",Reasoning about fences and relaxed atomics,2016
S Owens,Reasoning about the implementation of concurrency abstractions on x86-TSO,2010
"B Dongol, J Derrick, G Smith",Reasoning algebraically about refinement on TSO architectures,2014
"E Moiseenko, A Podkopaev, O Lahav, ...",Reconciling Event Structures with Modern Multiprocessors,2019
"P Bohannon, D Lieuwen, ...",Recovering scalable spin locks,1996
"H Hiroshi, H Michihiro",Reducing Memory Fences in a Copying Garbage Collector of Java for Weak Memory Models,2018
"T Abe, T Ugawa, T Maeda, K Matsumoto",Reducing state explosion for software model checking with relaxed memory consistency models,2016
"R Martins, S Joshi, V Manquinho, I Lynce","Reflections on"" Incremental Cardinality Constraints for MaxSAT""",2019
"W Czerwiński, S Lasota, R Meyer, S Muskalla, ...",Regular separability of well structured transition systems,2017
"T Suzanne, A Miné",Relational thread-modular abstract interpretation under relaxed memory models,2018
A Miné,Relational thread-modular static value analysis by abstract interpretation,2014
J Triplett,Relativistic causal ordering a memory model for scalable concurrent data structures,2012
V HAVEL,Relaxed Memory Models in DiVinE,2012
"G Boudol, G Petri, B Serpette",Relaxed operational semantics of concurrent programming languages,2012
"V Vafeiadis, C Narayan",Relaxed separation logic: A program logic for C11 concurrency,2013
"J Ŝevčik, V Vafeiadis, F Zappa Nardelli, ...",Relaxed-memory concurrency and verified compilation,2011
"P Gammie, AL Hosking, K Engelhardt",Relaxing safely: verified on-the-fly garbage collection for x86-TSO,2015
"N Coughlin, G Smith",Rely/Guarantee Reasoning for Noninterference in Non-Blocking Algorithms,2020
"J Wickerson, M Batty, BM Beckmann, ...","Remote-scope promotion: clarified, rectified, and verified",2015
"T Abe, T Ugawa, T Maeda",Reordering control approaches to state explosion in model checking with memory consistency models,2017
"C Watt, C Pulte, A Podkopaev, G Barbier, ...",Repairing and mechanising the JavaScript relaxed memory model,2020
"O Lahav, V Vafeiadis, J Kang, CK Hur, ...",Repairing sequential consistency in C/C++ 11,2017
TP Ngo,Replacing Store Buffers by Load Buffers in TSO,2018
"PA Abdulla, MF Atig, A Bouajjani, TP Ngo",Replacing store buffers by load buffers in TSO,2018
"S Burckhardt, A Gotsman, H Yang, M Zawirski","Replicated data types: specification, verification, optimality",2014
"M Andrić, R De Nicola, AL Lafuente",Replicating Data for Better Performances in X10,2016
B Toninho,Report on POPL 2017,2017
"X Yuan, C Wu, Z Wang, J Li, PC Yew, J Huang, X Feng, ...",Reproducing Concurrency Bugs Using Local Clocks,
TF Şerbănuţă,Rewriting semantics and analysis of concurrency features for a C-like language,2014
"Y Yang, G Gopalakrishnan, G Lindstrom",Rigorous concurrency analysis of multithreaded programs,2003
"E Derevenetc, R Meyer",Robustness against Power is PSpace-complete,2014
"O Lahav, R Margalit",Robustness against release/acquire semantics,2019
"SM Beillahi, A Bouajjani, C Enea",Robustness against transactional causal consistency,2019
"B Demsky, P Lam",SATCheck: SAT-directed stateless model checking for SC and TSO,2015
"D Chavarría-Miranda, J Manzano, ...",SCaLeM: a framework for characterizing and analyzing execution models,2014
"A Hilton, A Roth",SMT-Directory: Efficient Load-Load Ordering for SMT,2010
"O Travkin, A Mütze, H Wehrheim",SPIN as a linearizability checker under weak memory models,2013
E Yahav,SYNTHESIS OF SYNCHRONIZATION,
"I Kuru, CS Gordon",Safe Deferred Memory Reclamation with Types,2019
"B Gomes, W Löwe, JW Quittek, B Weissman",Safe Sharing OF Objects IN A High-Performance Parallel Language,
L Liu,Safe and Efficient Concurrency for Modern Programming Languages,2020
J Ševčík,Safe optimisations for shared-memory concurrent programs,2011
"J Kim, V Sjöberg, R Gu, Z Shao",Safety and liveness of MCS lock—layer by layer,2017
"B Gomes, W Löwe, JW Quittek, ...","Sather 2: A Language Design for Safe, High-Performance Computing",1997
"A Drebes, A Pop, K Heydemann, A Cohen, ...",Scalable task parallelism for NUMA: A uniform abstraction for coordinated scheduling and memory management,2016
"M Horie, K Ogata, M Takeuchi, H Horii",Scaling up parallel GC work-stealing in many-core environments,2019
