Authors,Title,Year
"N Ramanathan, J Wickerson, ...",Scheduling Weakly Consistent C Concurrency for Reconfigurable Hardware,2017
"L Yin, W Dong, W Liu, J Wang",Scheduling constraint based abstraction refinement for weak memory models,2018
"J Yang, Q He",Scheduling parallel computations by work stealing: A survey,2018
"UA Acar, A Charguéraud, M Rainey",Scheduling parallel programs by work stealing with private deques,2013
"JA Vaughan, T Millstein",Secure information flow for concurrent programs under total store order,2012
H Nemati,Secure system virtualization: End-to-end verification of memory isolation,2020
"J Manson, W Pugh",Semantics of multithreaded Java,2001
"W Pugh, J Manson",Semantics of multithreaded java,2000
"M Abadi, A Birrell, T Harris, M Isard",Semantics of transactional memory and automatic mutual exclusion,2008
"K Nagar, P Mukherjee, S Jagannathan","Semantics, Specification, and Bounded Verification of Concurrent Libraries in Replicated Systems",2020
"E Tomasco, T Nguyen Lam, B Fischer, S La Torre, ...",Separating computation from communication: a design approach for concurrent program verification,2016
E Tomasco,Separating computation from communication:: a design approach for concurrent bug finding,2017
V Vafeiadis,Separation logic for weak memory models,2015
"SV Adve, HJ Boehm",Sequential Consistency,
R Gerth,Sequential consistency and the lazy caching algorithm,1999
"PG Joisha, RS Schreiber, P Banerjee, H Boehm, ...",Sequential-code optimization of parallel code based on identifying siloed program references,2014
"A Yeolekar, K Madhukar, D Bhutada, ...",Sequentialization using timestamps,2017
"L Brutschy, D Dimitrov, P Müller, M Vechev","Serializability for eventual consistency: criterion, analysis, and applications",2017
S Valle,Shared Variables in Go A Semantic Analysis of the Go Memory Model,2016
"P Chatterjee, H Sivaraj, G Gopalakrishnan",Shared memory consistency protocol verification against weak memory models: Refinement via model-checking,2002
"A Gotsman, M Musuvathi, H Yang",Show no weakness: sequentially consistent specifications of TSO libraries,2012
M Janota,"Simon Cooksey1, Sarah Harris1, Mark Batty1, Radu Grigore1, and",
DL Marino,Simplified semantics and debugging of concurrent programs via targeted race detection,2011
"C Pulte, S Flur, W Deacon, J French, S Sarkar, ...",Simplifying ARM concurrency: multicopy-atomic axiomatic and operational models for ARMv8,2017
D Chiou,Simulation method,2010
"A Cimatti, M Sirjani",Software Engineering and Formal Methods LNCS 10469,
"A Cimatti, M Sirjani","Software Engineering and Formal Methods: 15th International Conference, SEFM 2017, Trento, Italy, September 4–8, 2017, Proceedings",2017
A Rezine,Software Model Checking in the Multicore Era,2018
SD Stoller,"Software Model Checking: Where It Is, and Where It's Headed",2005
"Y Xu, R Wang, N Goswami, T Li, L Gao, ...",Software transactional memory for GPU architectures,2014
"J Alglave, D Kroening, V Nimal, ...",Software verification for weak memory via program transformation,2013
M Lång,Sound and Complete Reachability Analysis under PSO,2013
"J Burnim, K Sen, C Stergiou",Sound and complete monitoring of sequential consistency for relaxed memory models,2011
"J Alglave, D Kroening, J Lugton, V Nimal, ...",Soundness of data flow analyses for weak memory models,2011
"JBAKJ Li, AKETX Wang",Specifying and Checking File System Crash-Consistency Models,2016
"J Bornholt, A Kaufmann, J Li, A Krishnamurthy, ...",Specifying and checking file system crash-consistency models,2016
"S Mador-Haim, R Alur, MMK Martin",Specifying relaxed memory models for state exploration tools,2009
DJ Lustig,"Specifying, Verifying, and Translating Between Memory Consistency Models",2015
"J Alglave, L Maranget",Stability in Weak Memory Models With Proofs,
"J Alglave, L Maranget",Stability in weak memory models,2011
"J Alglave, L Maranget",Stability in weak memory models. CAV'11,
"R Kuchumov, A Sokolov, V Korkhov",Staccato: cache-aware work-stealing task scheduler for shared-memory systems,2018
"R Kuchumov, A Sokolov, ...",Staccato: shared-memory work-stealing task scheduler with cache-aware memory management,2019
"D Gnad, P Dubbert, AL Lafuente, ...",Star-Topology Decoupling in SPIN,2018
B Jonsson,State-space exploration for concurrent algorithms under weak memory orderings: (preliminary version),2009
"I Jaju, BP Rao",Stateless Model Checking for the C/C++ 11 Memory Model,
"PA Abdulla, MF Atig, B Jonsson, ...",Stateless model checking for POWER,2016
"PA Abdulla, S Aronis, MF Atig, B Jonsson, ...",Stateless model checking for TSO and PSO,2017
"M Kokologiannakis, K Sagonas",Stateless model checking of the Linux kernel's hierarchical read-copy-update (tree RCU),2017
"M Kokologiannakis, K Sagonas",Stateless model checking of the Linux kernel's read–copy update (RCU),2019
F Ranzato,Static Analysis LNCS 10422,
A Miné,Static Analysis of Concurrent Programs,2013
F Ranzato,"Static Analysis: 24th International Symposium, SAS 2017, New York, NY, USA, August 30–September 1, 2017, Proceedings",2017
İ Kuru,Static Methods for Checking Correctness of Programs on Relaxed Memory Systems,2015
"L Brutschy, D Dimitrov, P Müller, M Vechev",Static Serializability Analysis for Causal Consistency (extended version),2018
VPJ Nimal,Static analyses over weak memory,2014
J Alglave,Static analyses over weak memory,2014
E Goubault,"Static analysis by abstract interpretation of numerical programs and systems, and FLUCTUAT",2013
A Miné,Static analysis of embedded real-time concurrent software with dynamic priorities,2017
"E Beckschulze, S Biallas, S Kowalewski",Static analysis of lockless microcontroller C programs,2012
A Miné,Static analysis of run-time errors in embedded critical parallel C programs,2011
A Miné,Static analysis of run-time errors in embedded real-time parallel C programs,2012
P Ferrara,Static analysis via abstract interpretation of multithreaded programs,2009
"S Joosten, M Huisman",Static code verification through process models,2018
"L Brutschy, D Dimitrov, P Müller, M Vechev",Static serializability analysis for causal consistency,2018
"P Lutsyk, J Oberhauser, WJ Paul",Store Buffers,2020
"G Chen, E Cohen, M Kovalev",Store buffer reduction with MMUs,2014
"G Chen, E Cohen, M Kovalev",Store buffer reduction with MMUs: Complete paper-and-pencil proof,2013
"JO Kaiser, HH Dang, D Dreyer, O Lahav, ...",Strong logic for weak memory: Reasoning about release-acquire consistency in Iris,2017
"JO Kaiser, HH Dang, D Dreyer, O Lahav, ...",Strong logic for weak memory: Reasoning about release-acquire consistency in iris (artifact),2017
S Castellan,Structures concurrentes en sémantique des jeux,2017
G Petri,Studying operational models of relaxed concurrency,2013
P Karandikar,"Subwords: automata, embedding problems, and verification",2015
"J Jahić, T Kuhn, M Jung, N Wehn",Supervised testing of concurrent software in embedded systems,2017
KC Wong,Supporting a weak ordering memory model for a virtual physical address space that spans multiple nodes,2010
"LC Cordeiro, EB de Lima Filho, ...",Survey on automated symbolic verification and its application for synthesising cyber-physical systems,2020
"S Sarkar, K Memarian, S Owens, M Batty, ...",Synchronising c/c++ and power,2012
"J McClurg, H Hojjat, P Černý",Synchronization synthesis for network programs,2017
M Vechev,Synthesis for Concurrency,
"J Bornholt, E Torlak",Synthesizing Memory Models from Litmus Tests,2016
"J Bornholt, E Torlak",Synthesizing memory models from framework sketches and litmus tests,2017
"C Manovit, SG Hangal, RE Cypher",System and method for efficient verification of memory consistency model compliance,2010
"G Kestor, OS Unsal, A Cristal, S Tasiran",T-Rex: a dynamic race detection tool for C/C++ transactional memory applications,2014
"A Cortesi, M Olliaro",TASE 2018,
"R Giorgi, RM Badia, F Bodin, A Cohen, ...",TERAFLUX: Harnessing dataflow in next generation teradevices,2014
"H Löf, Z Radović, E Hagersten",THROOM–Supporting POSIX Multithreaded Binaries on a Cluster,2003
"H Wehrheim, O Travkin",TSO to SC via symbolic execution,2015
"C Wang, Y Lv, P Wu",TSO-to-TSO linearizability is undecidable,2018
"P da Rocha Pinto, T Dinsdale-Young, ...",TaDA: A logic for time and data abstraction,2014
"M Doko, V Vafeiadis",Tackling real-life relaxed concurrency with FSL++,2017
"A Miné, L Mauborgne, X Rival, J Feret, P Cousot, ...",Taking static analysis to the next level: proving the absence of run-time errors and data races with Astrée,2016
"S Zhang, M Vijayaraghavan",Taming Weak Memory Models,2016
"O Lahav, N Giannarakis, V Vafeiadis",Taming release-acquire consistency,2016
"J Toman, D Grossman",Taming the static analysis beast,2017
"EB Johnsen, KI Pun, SLT Tarifa",Technical Report: A Formal Model of Parallel Execution on Multicore Architectures with Multilevel Caches Shiji Bijo,
"S Bijo, KI Pun, SLT Tarifa",Technical Report: Modelling Data Access Patterns with Atomic Sections for Multicore Architectures,2017
AA Sane,"Techniques for developing correct, fast, and robust implementations of distributed protocols",1998
"JR Baumgartner, ML Case, RL Kanzelman, ...",Techniques for employing retiming and transient simplification on netlists that include memory arrays,2013
"GL Guthrie, H Shen, WJ Starke, DE Williams",Techniques for implementing barriers to efficiently support cumulativity in a weakly-ordered memory system,2016
"GL Guthrie, H Shen, WJ Starke, DE Williams",Techniques for implementing barriers to efficiently support cumulativity in a weakly-ordered memory system,2017
"GL Guthrie, H Shen, WJ Starke, ...",Techniques for implementing barriers to efficiently support cumulativity in a weakly-ordered memory system,2018
"D Lee, V Bertacco",Test Generation and Lightweight Checking for Multi-core Memory Consistency,2019
TR Sorensen,Testing and Exposing Weak Graphics Processing Unit Memory Models,2014
"J Burnim, K Sen, C Stergiou",Testing concurrent programs on relaxed memory models,2011
TP Ngo,The Benefits of Duality in Verifying Concurrent Programs under TSO,
N Evans,The Challenges of Formally Proving HPC Systems Software.,2018
D DEMANGE,The Impostor Phenomenon,2019
W Pugh,The Java memory model is fatally flawed,2000
"M Huisman, G Petri",The Java memory model: a formal explanation,2007
"C Wallace, G Tremblay, JN Amaral",The Location Consistency memory model and cache protocol: Specification and verification,2001
A Malko,The Role of Structural Information in the Resolution of Long-distance Dependencies,2018
"M Solinas, RM Badia, F Bodin, A Cohen, ...",The TERAFLUX project: Exploiting the dataflow paradigm in next generation teradevices,2013
"PA Abdulla, MF Atig, A Bouajjani, ...",The benefits of duality in verifying concurrent programs under TSO,2016
"PA Abdulla, MF Atig, TP Ngo",The best of both worlds: Trading efficiency and optimality in fence insertion for TSO,2015
M von Tessin,The clustered multikernel: an approach to formal verification of multiprocessor operating-system kernels.,2013
"C Disselkoen, R Jagadeesan, ...",The code that never ran: Modeling attacks on speculative evaluation,2019
"V D'Silva, M Payer, D Song",The correctness-security gap in compiler optimization,2015
"D Leijen, W Schulte, S Burckhardt",The design of a task parallel library,2009
HM Windisch,The distributed programming language INSEL-concepts and implementation,1996
M Might,The illustrated guide to a Ph. D,2010
"A Jaffe, T Moscibroda, L Effinger-Dean, L Ceze, ...",The impact of memory models on software reliability in multiprocessors,2011
"R Palmer, G Gopalakrishnan",The parallel PV model checker,2002
"S Schmitz, P Schnoebelen",The power of well-structured systems,2013
PJ Keleher,The relative importance of concurrent writers and weak consistency models,1996
"J Alglave, A Fox, S Ishtiaq, MO Myreen, ...",The semantics of Power and ARM multiprocessor machine code,2009
"N Chong, T Sorensen, J Wickerson","The semantics of transactions and weak memory in x86, Power, ARM, and C++",2018
"S Sarkar, P Sewell, FZ Nardelli, S Owens, ...",The semantics of x86-CC multiprocessor machine code,2009
"G Narayanaswamy, S Joshi, D Kroening",The virtues of conflict: analysing modern concurrency,2016
M Frigo,The weakest reasonable memory model,1998
KSJ Brandt,Theorem Proving in Higher Order Logics,2007
"A Sampaio, F Wang, Sampaio",Theoretical Aspects of Computing-ICTAC 2016,2016
"B Fischer, T Uustalu",Theoretical Aspects of Computing–ICTAC 2018,2018
"B Fischer, T Uustalu","Theoretical Aspects of Computing–ICTAC 2018: 15th International Colloquium, Stellenbosch, South Africa, October 16–19, 2018, Proceedings",2018
"C Verbrugge, A Kielstra, Y Zhang",There is nothing wrong with out-of-thin-air: Compiler optimization and memory models,2011
C Leonardsson,Thread-Modular Model Checking of Concurrent Programs under TSO using Code Rewriting,2010
"M Kusano, C Wang",Thread-modular static analysis for relaxed memory models,2017
JM Machado,Threads and Memory Model for C+,2012
"PA Abdulla, MF Atig, J Cederberg",Timed lossy channel systems,2012
"K Hammond, C Brown, S Sarkar",Timing Properties and Correctness for Structured Parallel Programs on x86-64 Multicores,2015
"R O'Callahan, K Huey, D O'Dell, T Coatta",To Catch a Failure: The Record-and-Replay Approach to Debugging,2020
C Staff,To catch a failure: the record-and-replay approach to debugging,2020
"PA Abdulla, KRM Leino",Tools for software verification,2013
"D Beyer, M Huisman",Tools for the construction and analysis of systems,2020
"A Drebes, K Heydemann, N Drach, A Pop, ...",Topology-aware and dependence-aware scheduling and memory allocation for task-parallel languages,2014
TM Merrifield,Towards High Performance Determinism for Multithreaded Programs,2018
"M He, S Qin, J Ferreira",Towards a Program Logic for C11 Release-Sequences,2018
"Y Zhao, X Wang, H Zhu",Towards a pomset semantics for a shared-variable parallel language,2010
RT Bauer,Towards an Operational Semantics of Memory Barriers in Shared Memory Multiprocessors,2006
"H Jiang, H Liang, S Xiao, J Zha, X Feng",Towards certified separate compilation for concurrent programs,2019
"M Dalvandi, B Dongol",Towards deductive verification of C11 programs with Event-B and ProB,2019
E Sifakis,Towards efficient and secure shared memory applications,2013
"MR Groz, MK Havelund, MG Muller, MA Bouajjani, ...",Towards efficient and secure shared memory applications,2013
"T Sorensen, G Gopalakrishnan, V Grover",Towards shared memory consistency models for GPUs,2013
SB Schmaltz,Towards the pervasive formal verification of multi-core operating systems and hypervisors implemented in C,2012
"T Shpeisman, AR Adl-Tabatabai, R Geva, Y Ni, ...",Towards transactional memory semantics for c++,2009
"X Qiu, M Dubois",Towards virtually-addressed memory hierarchies,2001
"H Attiya, D Hendler, P Woelfel",Trading fences with rmrs and separating memory models,2015
"A Cerone, A Gotsman, H Yang",Transaction chopping for parallel snapshot isolation,2015
"T Harris, J Larus, R Rajwar",Transactional memory,2010
"D BRIJESH, R JAGADEESAN, J RIELY",Transactions in Relaxed Memory Architectures,2018
"B Dongol, R Jagadeesan, J Riely",Transactions in relaxed memory architectures,2017
M Naylor,Treating Stress With VR,2020
"S Kaxiras, D Klaftenegger, M Norgren, A Ros, ...",Turning centralized coherence and distributed critical-section execution on their head: A new approach for scalable distributed shared memory,2015
"J Avigad, R Harper","Type Theory, Computation and Interactive Theorem Proving",2015
"MGRJC Pitcher, J Riely",Types for Relaxed Memory Models,2012
"M Goto, R Jagadeesan, C Ptcher, J Riely",Types for relaxed memory models,2012
"Y Yang, G Gopalakrishnan, ...",UMM: an operational memory model specification framework with integrated model checking capability,2005
P Abdulla,UPMARC Seminars,2018
"S Sarkar, P Sewell, J Alglave, L Maranget, ...",Understanding POWER multiprocessors,2011
W Hassanein,Understanding and improving JVM GC work stealing at the data center scale,2016
"S Burckhardt, A Gotsman, H Yang",Understanding eventual consistency,2013
K Schneider,Using Synchronous Models for the Design of Parallel Embedded Systems,
"AE Condon, MD Hill, M Plakal, ...",Using lamport clocks to reason about relaxed memory models,1999
"A Schuster, L Shalev",Using remote access histories for thread scheduling in distributed shared memory systems,1998
"E Tomasco, TL Nguyen, B Fischer, S La Torre, ...",Using shared memory abstractions to design eager sequentializations for weak memory models,2017
"K Jiang, B Jonsson","Using spin to model check concurrent algorithms, using a translation from c to promela",2009
"M Senftleben, K Schneider",Using temporal logics for specifying weak memory consistency models,2018
"E Cohen, M Dahlweid, M Hillebrand, ...",VCC: A practical system for verifying concurrent C,2009
"S Chakraborty, V Vafeiadis",Validating optimizations of concurrent C/C++ programs,2016
"G Smith, N Coughlin, T Murray",Value-Dependent Information-Flow Security on Weak Memory Models,2019
"S Liu, Y Jiang",Value-passing CCS for trees: a theory for concurrent systems,2016
P Cousot,"Verification by abstract interpretation, soundness and abstract induction",2015
"RP Ghughal, GC Gopalakrishnan",Verification methods for weaker shared memory consistency models,2000
R Grönroos,Verification of Cache Coherence Protocols,2011
Z Cai,Verification of Concurrent Data Structures with TLA,2018
A Bouajjani,"Verification of Concurrent Programs: Decidability, Complexity, Reductions",
D Kröning,Verification of Concurrent Software.,2016
C Leonardsson,Verification of Software under Relaxed Memory,2016
"CJ Banks, M Elver, R Hoffmann, ...",Verification of a lazy cache coherence protocol against a weak memory model,2017
"É André, L Fribourg, JM Mota, R Soulat",Verification of an industrial asynchronous leader election algorithm using abstractions and parametric model checking,2019
"A Bouajjani, G Parlato",Verification of concurrent programs for relaxed memory models.,
V Kahlon,Verification of concurrent programs having parameterized qualities,2010
"O Travkin, H Wehrheim",Verification of concurrent programs on weak memory models,2016
"C Manovit, SG Hangal",Verification of memory consistency and transactional memory,2010
"PA Abdulla, J Arora, MF Atig, S Krishna",Verification of programs under the release-acquire semantics,2019
"S Polyakov, A Schuster",Verification of the Java causality requirements,2005
"L Liang, PE McKenney, D Kroening, ...",Verification of tree-based hierarchical read-copy update in the Linux kernel,2018
"A Cristal, BK Ozkan, E Cohen, G Kestor, I Kuru, ...",Verification tools for transactional programs,2015
O Lahav,Verification under causally consistent shared memory,2019
JG Stewart,Verified Separate Compilation for C,2015
J Woodcock,Verified Software Grand Challenge.,2006
"L Beringer, G Stewart, R Dockins, AW Appel",Verified compilation for shared-memory C,2014
AW Appel,Verified software toolchain,2011
P Gardner,Verified trustworthy software systems,2017
"S Doherty, B Dongol, H Wehrheim, ...",Verifying C11 programs operationally,2019
O Travkin,Verifying Concurrent Programs Under Weak Memory Models: Verifikation Nebenläufiger Programme Unter Schwachen Speichermodellen,2017
H Wehrheim,Verifying Correctness of Persistent Concurrent Data Structures,2019
J Lepiller,Verifying Software Fault Isolation,2019
"S Krishna, M Emmi, C Enea, ...",Verifying Visibility-Based Weak Consistency,2020
"E Tomasco, O Inverso, B Fischer, S La Torre, ...",Verifying concurrent programs by memory unwinding,2015
O Travkin,Verifying concurrent programs under weak memory models.,2017
"D Lustig, M Pellauer, M Martonosi",Verifying correct microarchitectural enforcement of memory consistency models,2015
"J Derrick, S Doherty, B Dongol, G Schellhorn, ...",Verifying correctness of persistent concurrent data structures,2019
"S Burckhardt, M Musuvathi, V Singh",Verifying local transformations of concurrent programs,2010
"S Burckhardt, M Musuvathi, V Singh",Verifying local transformations on relaxed memory models,2010
"I Kuru, BK Ozkan, SO Mutluergil, ...",Verifying programs under snapshot isolation and similar relaxed consistency models,2014
"J Tassarotti, D Dreyer, V Vafeiadis",Verifying read-copy-update in a logic for weak memory,2015
"R Sison, T Murray",Verifying that a compiler preserves concurrent value-dependent information-flow security,2019
"PA Abdulla, F Haziza, L Holík",View Abstraction–A Tutorial,2015
"K Matsumoto, T Ugawa",Visualization of Counterexamples of Memory Model-aware Model Checking Using SPIN,2019
"J Wang, L Tang, Y Xuan, RL Damata",Visualized code review,2017
MF Atig,Vérification de Programmes Concurrents: Décidabilité Et Complexité,2010
"L Higham, J Kawash, N Verwaal",WEAK MEMORY CONSISTENCY MODELS PART ONE: DEFINITIONS AND COMPARISONS,1998
S Zhang,WMM: a Resilient Weak Memory Model,2016
"A De, A Roychoudhury, D D'Souza",WOMM: a weak operational memory model,2010
"L Higham, J Kawash, N Verwaal",Weak Memory Consistency Models,
"V Štill, P Ročkai, J Barnat",Weak Memory Models as LLVM-to-LLVM Transformations,2015
"S Zhang, M Vijayaraghavan, D Lustig",Weak Memory Models with Matching Axiomatic and Operational Definitions,2017
SZMV Arvind,Weak Memory Models: Balancing Definitional Simplicity and Implementation Flexibility,
"A RAAD, J WICKERSON, V VAFEIADIS",Weak Persistency Semantics from the Ground Up,2019
"L Higham, J Kawash, N Verwaal",Weak memory consistency models part II: Process coordination problems,1998
"K Winter, G Smith",Weak memory model of SeqLock in NuSMV,
S Castellan,Weak memory models using event structures,2016
"S Zhang, M Vijayaraghavan",Weak memory models: Balancing definitional simplicity and implementation flexibility,2017
S Tissen,Weak memory semantics,
"J Berdine, EA Emerson, DS Fussell",Weak-Memory Local Reasoning,
IA Wehrman,Weak-memory local reasoning,2012
"G Smith, L Groves",Weakening Correctness and Linearizability for Concurrent Objects on Multicore Processors,2019
"C WATT, A ROSSBERG, J PICHON-PHARABOD",Weakening WebAssembly (Extended Draft),2019
J Alglave,Weakness is a virtue,2013
"J Goubault-Larrecq, M Seisenberger, ...",Well quasi-orders in computer science (dagstuhl seminar 16031),2016
"ORI LAHAV, UDI BOKER",What's Decidable about Causally Consistent Memory Models?,
"MF Atig, A Bouajjani, S Burckhardt, ...",What's Decidable about Weak Memory Models?,2012
"TC Lee, MA Boéchat",When the ARM weakly consistent memory model meets speculation: is it necessary?,2012
"L BAJCZI, A VÖRÖS, V MOLNÁR",Will My Program Break on This Faulty Processor?,2019
"L Bajczi, A Vörös, V Molnár",Will My Program Break on This Faulty Processor? Formal Analysis of Hardware Fault Activations in Concurrent Embedded Software,2019
"S Che, M Orr, J Gallmeier",Work stealing in a shared virtual-memory heterogeneous environment: A case study with betweenness centrality,2017
"S Pervez, G Gopalakrishnan, RM Kirby, R Thakur",and William Gropp4,2009
CF Grammar,automated theorem proving 472,2013
"P Sewell, S Sarkar, S Owens, FZ Nardelli, ...",x86-TSO: a rigorous and usable programmer's model for x86 multiprocessors,2010
"S Aga, A Singh, S Narayanasamy",zfence: Data-less coherence for efficient fences,2015
Μ Κοκολογιαννάκης,Συστηματικός έλεγχος ορθότητας του read-copy-update υπό ακολουθιακά συνεπή και ασθενή μοντέλα μνήμης,2017
"ЕС Намаконов, АВ Подкопаев",Компиляция модели памяти OCaml в Power,2019
"АВ Подкопаев, Л Ори, В Вафеядис",О корректности компиляции подмножествa обещающей модели памяти в аксиоматическую модель ARMv8. 3,2017
"АВ Подкопаев, О Лахав, В Вафеядис",Обещающая компиляция в ARMv8. 3,2017
D Declerck,… paramétrés sur des modèles mémoires faibles.(Verification via Model Checking of Parameterized Concurrent Programs on Weak Memory Models).,2018
"大野純, 平木敬",値予測用投機実行回路によるキャッシュコヒーレンシ機構の高速化,2013